Macbook	Windows
00.0 	0.00
02.6 	0.76
22.6	3.11
21.1	0.78
16.7	1.54
16.4	0.00
16.4	0.78
16.9	1.94
17.2	0.00
16.7	0.00
15.8	0.00
15.8	1.54
16.4	0.39
15.7	0.00
17.0	0.00
16.4	2.31
17.1	0.39
15.0	0.39
17.1	0.00
16.8	0.77
17.6	0.38
15.4	0.00
17.0	1.16
16.4	2.33
16.3	1.16
15.7	1.16
15.4	0.77
17.1	1.16
15.6	0.00
16.7	0.00
15.9	0.77
16.3	1.16
16.8	0.00
16.2	1.17
16.7	0.77
16.1	1.54
16.4	0.78
16.0	1.91
16.5	0.00
16.4	3.84
15.9	0.39
15.2	1.17
16.7	2.71
16.6	1.94
15.8	0.00
16.0	1.55
15.3	0.39
16.9	0.00
16.1	0.78
16.4	0.78
15.4	0.78
15.4	0.00
16.5	1.54
16.1	0.78
16.5	2.31
15.6	1.17
15.6	0.77
16.5	0.00
16.4	3.09
16.0	1.17
15.2	1.53
03.8 	0.39
00.3 	0.77
00.3 	1.16
00.4 	0.78
00.4 	1.17
