Macbook	Windows
00.0 	0.00
02.0 	0.77
20.6	5.02
23.4	1.16
20.0	0.77
19.1	2.32
17.9	0.00
18.6	0.39
17.5	1.93
19.1	1.16
18.6	0.00
18.5	0.39
18.8	0.78
18.5	1.94
17.8	1.17
19.0	1.15
18.0	0.00
19.2	1.15
18.3	0.39
18.9	0.77
17.9	1.93
18.1	0.00
19.3	0.39
18.8	0.77
18.9	1.56
20.1	0.00
19.5	0.00
18.2	0.77
19.1	0.78
18.7	0.00
18.9	0.77
18.5	3.46
18.4	0.39
18.9	0.77
18.3	1.16
18.1	0.39
19.6	0.78
18.9	1.15
19.0	1.15
19.3	0.38
18.6	0.00
18.5	0.39
18.7	0.38
17.9	1.92
19.2	1.17
18.4	1.95
18.8	1.54
19.2	1.56
19.1	1.17
19.0	2.72
18.1	0.77
18.2	0.00
18.1	1.94
19.2	0.00
18.3	1.17
18.4	0.00
18.8	0.00
17.9	0.00
19.2	0.00
19.3	0.00
18.5	0.38
01.7 	1.15
00.3 	0.00
00.4 	1.94
00.4 	2.70
00.4 	0.39
